週	python poetry	python venv	python conda	python mamba	python uv
2021-12-26	9	22	34	2	0
2022-01-02	19	37	66	3	0
2022-01-09	15	41	71	3	1
2022-01-16	15	40	73	5	0
2022-01-23	18	45	79	2	1
2022-01-30	17	41	71	3	0
2022-02-06	17	47	84	3	1
2022-02-13	20	54	95	4	1
2022-02-20	18	48	87	3	1
2022-02-27	18	48	87	2	2
2022-03-06	19	49	84	3	2
2022-03-13	17	48	90	2	1
2022-03-20	18	51	86	3	1
2022-03-27	26	56	92	3	1
2022-04-03	23	54	88	3	2
2022-04-10	23	50	83	4	1
2022-04-17	24	55	91	4	1
2022-04-24	23	53	85	4	2
2022-05-01	21	51	79	5	2
2022-05-08	24	54	90	4	1
2022-05-15	22	50	83	4	2
2022-05-22	21	50	78	4	3
2022-05-29	22	43	79	3	2
2022-06-05	22	48	80	4	2
2022-06-12	23	50	78	4	2
2022-06-19	22	44	77	4	2
2022-06-26	23	47	78	4	2
2022-07-03	25	54	79	4	1
2022-07-10	23	52	80	5	0
2022-07-17	25	46	80	4	1
2022-07-24	22	50	76	4	2
2022-07-31	24	44	74	3	1
2022-08-07	22	46	70	4	0
2022-08-14	22	46	73	4	2
2022-08-21	24	44	75	4	2
2022-08-28	25	48	78	3	2
2022-09-04	23	47	77	4	1
2022-09-11	24	49	81	4	2
2022-09-18	28	51	87	4	0
2022-09-25	25	54	80	4	2
2022-10-02	25	48	78	4	2
2022-10-09	27	51	83	4	2
2022-10-16	29	56	86	4	1
2022-10-23	30	54	88	6	2
2022-10-30	27	57	85	4	1
2022-11-06	29	61	85	3	1
2022-11-13	28	60	91	4	1
2022-11-20	24	55	78	3	1
2022-11-27	27	55	82	4	1
2022-12-04	28	53	82	5	2
2022-12-11	25	53	79	3	2
2022-12-18	24	51	75	3	1
2022-12-25	18	39	53	4	1
2023-01-01	23	44	65	4	1
2023-01-08	27	56	87	4	0
2023-01-15	28	56	79	5	1
2023-01-22	32	58	83	5	1
2023-01-29	31	65	88	5	1
2023-02-05	32	62	95	5	1
2023-02-12	32	63	86	5	1
2023-02-19	31	62	92	4	2
2023-02-26	31	62	91	3	2
2023-03-05	30	60	86	4	2
2023-03-12	29	61	90	5	2
2023-03-19	29	61	94	5	2
2023-03-26	30	59	87	4	2
2023-04-02	28	60	84	4	2
2023-04-09	28	57	86	5	2
2023-04-16	33	62	92	4	1
2023-04-23	30	58	88	5	1
2023-04-30	28	58	81	5	0
2023-05-07	30	57	83	5	2
2023-05-14	32	59	81	4	1
2023-05-21	32	58	81	5	2
2023-05-28	28	57	80	6	2
2023-06-04	29	55	76	5	2
2023-06-11	29	61	80	6	1
2023-06-18	30	59	77	5	2
2023-06-25	30	58	75	5	2
2023-07-02	31	59	77	6	1
2023-07-09	33	62	85	6	2
2023-07-16	32	58	83	5	1
2023-07-23	34	61	78	5	1
2023-07-30	31	62	78	6	1
2023-08-06	29	59	79	5	1
2023-08-13	32	55	69	5	2
2023-08-20	30	59	78	5	1
2023-08-27	29	62	71	5	2
2023-09-03	29	59	77	4	1
2023-09-10	31	58	79	6	1
2023-09-17	32	62	78	5	2
2023-09-24	32	60	75	19	1
2023-10-01	34	62	76	5	2
2023-10-08	32	64	80	4	1
2023-10-15	33	65	81	5	2
2023-10-22	30	66	79	4	1
2023-10-29	34	62	75	4	1
2023-11-05	36	66	85	5	2
2023-11-12	33	66	81	5	1
2023-11-19	29	64	74	5	2
2023-11-26	30	64	76	5	1
2023-12-03	31	66	78	5	1
2023-12-10	34	61	74	6	2
2023-12-17	31	62	67	5	1
2023-12-24	20	46	45	4	1
2023-12-31	26	57	62	6	1
2024-01-07	34	66	72	6	2
2024-01-14	33	71	79	5	1
2024-01-21	37	71	84	5	2
2024-01-28	41	80	89	8	2
2024-02-04	41	84	91	7	1
2024-02-11	40	85	79	6	5
2024-02-18	42	83	92	7	9
2024-02-25	39	87	86	6	5
2024-03-03	42	85	88	6	5
2024-03-10	40	85	88	5	5
2024-03-17	38	82	91	6	5
2024-03-24	40	79	79	6	6
2024-03-31	40	78	80	12	7
2024-04-07	36	85	86	5	6
2024-04-14	40	82	84	5	5
2024-04-21	41	84	85	6	5
2024-04-28	38	84	74	5	4
2024-05-05	38	83	76	6	5
2024-05-12	40	86	77	5	4
2024-05-19	39	87	78	4	4
2024-05-26	34	90	76	4	4
2024-06-02	39	89	78	6	4
2024-06-09	39	92	73	5	6
2024-06-16	37	90	73	5	5
2024-06-23	40	86	69	5	4
2024-06-30	36	76	66	4	5
2024-07-07	41	85	76	4	7
2024-07-14	40	84	77	6	7
2024-07-21	38	80	67	4	5
2024-07-28	35	84	65	4	5
2024-08-04	41	80	64	6	5
2024-08-11	34	82	63	6	6
2024-08-18	38	87	67	5	16
2024-08-25	39	83	65	5	16
2024-09-01	37	85	63	5	17
2024-09-08	39	87	68	5	20
2024-09-15	33	86	65	6	17
2024-09-22	36	85	71	5	18
2024-09-29	36	86	63	5	20
2024-10-06	39	94	71	5	20
2024-10-13	35	92	72	4	24
2024-10-20	37	91	72	5	26
2024-10-27	35	86	66	5	25
2024-11-03	35	87	64	4	25
2024-11-10	35	95	72	5	30
2024-11-17	37	93	73	5	33
2024-11-24	36	97	67	5	36
2024-12-01	35	93	68	5	33
2024-12-08	37	95	65	7	40
2024-12-15	32	89	62	3	44
2024-12-22	25	69	41	5	28
2024-12-29	22	66	44	3	31
2025-01-05	42	96	68	5	42
2025-01-12	43	100	74	5	49
